time,ema9,ema21,ema50,sma200,atr,rsi,roc,macd_line,macd_signal,macd_hist,adx,plus_di,minus_di,chop,vwap,bias_score,execution_score,smart_money_score,regime_score,score_penalty,vix_pine,qqq_close_pine,spy_close_pine,qqq_ema21_pine,spy_ema21_pine,bsl_level,ssl_level,bull_ob_high,bull_ob_low,bear_ob_high,bear_ob_low
2025-08-22 13:30:00+00:00,227.20203494730595,222.45643355501133,215.89663082513405,220.87529337500027,6.08645490531191,62.06532919011108,11.13517084449664,5.21696244248102,5.0881359638860415,0.1288264785949779,36.2943755303119,19.77313518139909,11.952636106035817,44.49929329277998,227.2025,87,55,0,0,32,16.6,571.97,645.31,568.5312724211552,636.465017972534,235.12,213.06,206.45876600633164,201.5999452129816,,
2025-08-25 13:30:00+00:00,227.2201279578448,222.8960759591012,216.3435276555209,220.90488087500023,5.870993840646775,62.32024659550586,11.71635005283724,4.931595804953673,5.056827932099568,-0.1252321271458942,35.507307505220965,19.29008816263257,11.506196811897404,47.420323585167154,227.6075,80,45,0,0,35,14.22,570.32,642.47,568.693884019232,637.0109254295764,229.3,213.06,206.45876600633164,201.5999452129816,,
2025-08-26 13:30:00+00:00,227.2941023662758,223.32279632645563,216.78456578667692,220.9299121250002,5.794494280600577,62.75370376224348,8.395546823837575,4.675549626777496,4.980572271035153,-0.3050226442576571,34.22622889912676,18.14870391188876,12.723735029087534,48.05125645207599,227.25666666666663,100,100,0,12,6,14.79,572.61,645.16,569.0498945629381,637.7517503905241,229.49,213.06,206.45876600633164,201.5999452129816,,
2025-08-27 13:30:00+00:00,227.74828189302065,223.8902693876869,217.28575928523864,220.96200587500024,5.627219565134001,65.5841893804587,4.7841293569240015,4.579210887445413,4.900299994317205,-0.321089106871792,33.373222427930834,19.14309133330361,12.166106407398686,52.95098103903282,229.3041172453105,100,96,0,12,16,14.62,573.49,646.63,569.453540511762,638.5588639913856,229.49,213.06,206.45876600633164,201.5999452129816,,
2025-08-28 13:30:00+00:00,228.5048755144165,224.5849039888063,217.8444059799352,220.98897462500025,5.575548462769733,68.17702484469837,2.8536365958486427,4.608398930561947,4.841919781566153,-0.2335208510042061,33.12940212714328,21.156034195814332,11.401794076361073,58.979502551495024,231.14914195598865,100,93,0,0,19,14.85,577.08,648.92,570.1468550106927,639.5007854467142,229.49,213.06,206.45876600633164,201.5999452129816,,
2025-08-29 13:30:00+00:00,229.2739004115332,225.2908218080057,218.41325280425144,221.0142308750002,5.417386934430262,69.21700508170541,2.197004684304271,4.644063079094138,4.80234844107175,-0.1582853619776116,32.90299756212627,20.218424751955805,10.896480570815616,66.50964287318247,231.91623764466092,100,83,0,0,19,14.43,570.4,645.05,570.1698681915387,640.0052594970128,229.49,213.06,206.45876600633164,201.5999452129816,,
2025-09-02 13:30:00+00:00,229.25862032922657,225.6459743709143,218.83616445898667,221.03968087500024,5.414716439113813,60.95673128452906,0.1381720870538871,4.367599798552732,4.715398712567946,-0.3477989140152147,31.558999689644413,18.783510867747143,14.14487951015932,66.96412752710955,229.11728548899717,72,59,-8,0,13,16.12,565.62,640.27,569.7562438104898,640.0293268154662,229.49,213.06,206.45876600633164,201.5999452129816,,
2025-09-03 13:30:00+00:00,230.85139626338128,226.69838579174024,219.5571972253009,221.10363712500023,5.717415264891396,70.58127441656141,2.0498370669907464,4.741395236321694,4.720598017318696,0.0207972190029979,31.83611958788735,26.09521289110948,12.439145573379784,56.60234689807364,235.42114274449852,100,100,18,0,12,17.17,570.07,643.74,569.7847671004453,640.3666607413329,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-04 13:30:00+00:00,232.424612010705,227.7910302652184,220.308580667446,221.17404950000025,5.75139888048859,71.967607815679,2.365435433986736,5.099479180598564,4.7963742499746695,0.3031049306238946,32.256512182156165,25.391998827462075,11.482385284453478,54.241939790788905,237.441363038916,100,100,0,12,6,16.35,575.23,649.12,570.2797882731321,641.1624188557572,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-05 13:30:00+00:00,233.914444608564,228.889461604744,221.0758431902912,221.23953087500024,5.705435063426981,73.02638427342765,3.2597865917639326,5.414156012375628,4.919930602454861,0.4942254099207668,32.864785098628325,25.5461134176804,10.74811126546622,51.134032387530674,239.1352898527913,100,100,-18,12,0,15.3,576.06,647.24,570.8052620664837,641.7149262325065,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-08 13:30:00+00:00,234.8150556868512,229.75564691340364,221.75590816322097,221.30338087500024,5.570046844610768,69.46773797399413,3.008144131688668,5.4828278206069285,5.0325100460852745,0.450317774521654,33.429609949638184,24.297974490247583,10.222977134592012,51.579692306258806,238.30250000000004,100,100,0,12,6,15.18,578.87,648.83,571.5384200604398,642.3617511204604,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-09 13:30:00+00:00,235.02656954948097,230.31173583036696,222.3095049019182,221.34751900000023,5.559364927138568,63.63209155794685,2.103283895439117,5.271138179527668,5.080235672773753,0.1909025067539147,32.88304690838335,22.605756912333685,13.339807353527569,52.61785903622536,236.004375,65,40,-10,0,25,15.11,580.51,650.33,572.3540182367634,643.0861373822368,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-10 13:30:00+00:00,233.8885056395848,230.2230553003336,222.5850635332155,221.35410025000024,5.955226089114153,51.63434523945835,0.560713855058484,4.523794293445292,4.968947396908061,-0.4451531034627694,30.686863198536408,19.59572331020612,20.451318331313388,55.500723586411056,230.7792237315989,25,11,-18,0,14,15.04,580.7,652.21,573.1127438516031,643.915579438397,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-11 13:30:00+00:00,232.8110545116678,230.0665275457578,222.81707084563843,221.35550650000025,5.997269625420169,50.32885178872804,1.390461628024609,3.8201055588400834,4.7391790292944656,-0.919073470454382,28.647549753678536,18.06846650641742,18.85737793046689,57.83646300621074,229.4483618657995,68,49,0,0,19,15.35,584.08,657.63,574.109767137821,645.1623449439973,229.49,213.06,231.18435646699143,226.32023402730636,,
2025-09-12 13:30:00+00:00,232.58984360933425,230.21547958705253,223.16561708698595,221.3724498750002,5.998089652175871,55.027176267366585,2.0243717182391583,3.48081831025948,4.487506885487468,-1.0066885752279884,26.76763982527452,18.342929394677707,17.508028432657692,58.95207421979176,231.745,75,50,0,0,25,14.71,586.66,657.41,575.250697398019,646.2757681309066,229.49,213.06,231.18435646699143,226.32023402730636,,
