time,bb_upper,bb_lower,bb_mid,sma_50,sma_100,sma_200,ema_21,rsi_14,atr_14,macd_line,macd_signal,macd_hist,adx_val,stoch_k,stoch_d,cci,mom_val,psar,gap_pct,swing_mom_rr,vix_size_mult,vix_stop_mult,daily_dd_pct,weekly_dd_pct,vix_pine
2025-08-06 13:30:00+00:00,,,,205.8823290000004,205.99740625,221.06418537500028,209.12473601826423,52.65221302716834,5.185542994785243,0.1256486564090266,1.1475908434397213,-1.0219421870306946,25.64951293690077,30.9757236227824,26.39515783111385,-19.587406495961933,-4.214999999999975,201.5,0.7381892817408419,2,1.0,1.0,0,0.0,17.85
2025-08-07 13:30:00+00:00,,,,206.2806040000004,206.06756875,220.9971666250003,210.0301009256948,66.72171788439414,5.77159767361609,0.9207282333327385,1.1022183214183248,-0.1814900880855863,26.00801203253722,54.6079245651749,36.611254967103086,198.4734106161169,4.86375000000001,201.7776,-1.1920264325377607,2,1.0,1.0,0,-0.4528801556461463,16.77
2025-08-08 13:30:00+00:00,,,,206.7645540000004,206.18739375,220.9459916250003,211.40077356881343,72.52765275187315,6.625646357586978,2.01368826387602,1.284512309909864,0.729175953966156,27.655139293748555,76.71957374462075,54.101073977526006,256.2982387444771,10.802500000000007,202.540496,-2.652880119684155,2,1.0,1.0,0,-1.0219781841096642,16.57
2025-08-11 13:30:00+00:00,,,,207.2824290000004,206.32721875000004,220.90497912500024,212.8511577898304,74.32734981513109,6.8931280195167846,3.026335714998254,1.6328769909275418,1.393458724070712,29.18461460773051,86.18052818289323,72.50267549756296,237.1905029998268,13.358750000000043,204.24806624,-2.6289171283072625,2,1.0,1.0,0,0.0,15.15
2025-08-12 13:30:00+00:00,,,,207.8652540000004,206.46110625,220.87617912500028,214.30843889984584,75.50106186071771,6.938454219001451,3.906984450606842,2.0876984828634018,1.8192859677434403,30.736676395989704,86.82909604519777,83.24306599090392,210.08827904298784,16.112499999999983,205.85318226560003,-1.7957356611036142,2,1.0,1.0,0,-0.0437897378742039,16.25
2025-08-13 13:30:00+00:00,,,,208.4932540000004,206.6411815,220.8787866250003,215.9583535453144,78.03506766582404,7.080223375226423,4.837712269666497,2.637701240224021,2.200011029442476,32.58722677819543,90.95743738932458,87.98902053913854,199.290890366027,22.193749999999994,207.361991329664,-1.2252958274874255,2,1.0,1.0,0,-0.1469260941831936,14.73
2025-08-14 13:30:00+00:00,,,,209.1105540000004,206.82331900000003,220.89506787500028,217.52588958664944,78.53237866177898,6.992554648644216,5.571114837081694,3.2243839595955555,2.346730877486139,34.316680033500624,93.1736920063974,90.32007514697324,162.8442083305024,24.93625,209.5730320232909,-1.3724492447331342,2,1.0,1.0,0,-0.168244782358789,14.49
2025-08-15 13:30:00+00:00,,,,209.6862290000004,206.94185650000003,220.90164912500023,218.8691041696813,76.2816734416916,6.8463007451696285,6.010434628223749,3.781594093321194,2.228840534902554,35.92260091342687,92.77304435585307,92.301391250525,128.19093001744395,25.22,212.1277288209618,-0.8435013112227046,2,1.0,1.0,0,-0.1423166480911759,14.83
2025-08-18 13:30:00+00:00,,,,210.27017900000044,207.0346565,220.89142412500024,220.0132765178921,74.13034488293636,6.572279263371797,6.218628941759846,4.269001063008925,1.9496278787509211,37.41381315907267,91.66914534999007,92.53862723741354,104.14172952573036,27.10250000000002,214.42695593886563,-0.2296706542771053,2,1.0,1.0,0,0.0,15.09
2025-08-19 13:30:00+00:00,,,,210.81710400000043,207.118469,220.87972412500025,221.0133195617201,72.97468646155514,6.354259315988098,6.275677148185423,4.670336280044224,1.605340868141199,38.49012230379526,89.50029744199884,91.314162382614,88.67278520886943,27.558750000000032,216.49626034497908,0.0675557234086824,2,1.0,1.0,0,0.0129487724250247,14.99
2025-08-20 13:30:00+00:00,,,,211.3189540000004,207.17206875,220.86284912500025,221.6536996015637,65.59641399439496,6.296280475546647,6.013029137285969,4.938874851492573,1.074154285793396,38.15467097854343,85.29273250049577,88.82072509749491,60.63408741119789,18.095,218.3586343104812,0.1293453527367012,2,1.0,1.0,0,0.0978351694335009,15.57
2025-08-21 13:30:00+00:00,240.55867227342296,199.3144627265773,219.9365675000001,,,220.85162462500023,221.99132691051247,59.683316252837685,6.268305282643595,5.524147315216197,5.055929344237297,0.4682179709789,37.19007333871968,79.2066437117394,84.66655788474468,37.78165087817288,6.283850000000001,220.03477087943304,0.7136479944329437,2,1.0,1.0,0,0.1752400534852918,15.69
2025-08-22 13:30:00+00:00,241.25454802967425,199.898836970326,220.5766925000001,,,220.87529337500027,222.45643355501133,62.06532919011108,6.08645490531191,5.21696244248102,5.0881359638860415,0.1288264785949779,36.2943755303119,75.1746245979625,79.89133360339923,45.3710338068879,1.999999999999972,221.54329379148973,0.9578634583906324,2,1.0,1.0,0,0.1251714667751985,16.6
2025-08-25 13:30:00+00:00,241.88528798766288,200.59772201233733,221.2415050000001,,,220.90488087500023,222.8960759591012,62.32024659550586,5.870993840646775,4.931595804953673,5.056827932099568,-0.1252321271458942,35.507307505220965,73.5267158601431,75.96932805661503,42.59784859215365,-0.0625000000000284,222.9009644123408,0.092206089066195,2,1.0,1.0,0,0.0,14.22
2025-08-26 13:30:00+00:00,242.41959868902347,201.54553631097676,221.9825675000001,,,220.9299121250002,223.32279632645563,62.75370376224348,5.794494280600577,4.675549626777496,4.980572271035153,-0.3050226442576571,34.22622889912676,74.17217983234673,74.29117343015079,40.89394659931895,-1.291250000000019,224.12286797110667,0.0053690605114507,2,1.0,1.0,0,-0.0086428857177943,14.79
2025-08-27 13:30:00+00:00,242.8970505707638,202.99820942923645,222.9476300000001,,,220.96200587500024,223.8902693876869,65.5841893804587,5.627219565134001,4.579210887445413,4.900299994317205,-0.321089106871792,33.37322242793084,73.80032187799543,73.8330725234951,51.60600979484475,-2.8925000000000125,224.69,-0.0626777380677965,2,1.0,1.0,0,-0.0007572608369545,14.62
2025-08-28 13:30:00+00:00,243.19459987839747,205.02728512160277,224.1109425000001,,,220.98897462500025,224.5849039888063,68.17702484469837,5.575548462769733,4.608398930561947,4.841919781566153,-0.2335208510042061,33.12940212714328,74.94127847350897,74.30459339461707,64.56395495697834,-1.6699999999999875,224.69,-0.4612306458015204,2,1.0,1.0,0,-0.0007572608369545,14.85
2025-08-29 13:30:00+00:00,243.07678689960483,207.6719731003954,225.3743800000001,,,221.0142308750002,225.2908218080057,69.21700508170541,5.417386934430262,4.644063079094138,4.80234844107175,-0.1582853619776116,32.90299756212626,76.22229452003943,74.98796495718129,71.63582004606909,0.048749999999984,225.733,-0.6532755582743718,2,1.0,1.0,0,-0.0007572608369545,14.43
2025-09-02 13:30:00+00:00,241.50762833285813,211.72563166714207,226.61663000000013,,,221.03968087500024,225.6459743709143,60.95673128452906,5.414716439113813,4.367599798552732,4.715398712567946,-0.3477989140152147,31.558999689644413,67.28791772438224,72.81716357264357,34.33825349054319,-2.257499999999993,226.6717,-0.5016757189621531,2,1.0,1.0,0,0.0,16.12
2025-09-03 13:30:00+00:00,239.5096498237648,217.10036017623543,228.3050050000001,,,221.10363712500023,226.69838579174024,70.58127441656141,5.717415264891396,4.741395236321694,4.720598017318696,0.0207972190029979,31.836119587887357,71.19718741625242,71.56913322022471,157.18690714734487,6.208750000000009,226.97,0.4334376393702837,2,1.0,1.0,0,0.0,17.17
2025-09-04 13:30:00+00:00,238.20856665363573,221.27694084636448,229.7427537500001,,,221.17404950000025,227.7910302652184,71.967607815679,5.75139888048859,5.099479180598564,4.7963742499746695,0.3031049306238946,32.25651218215617,76.54542253714284,71.67684255925919,183.7283083666796,10.659974999999974,226.97,-1.4820625713210742,2,1.0,1.0,0,0.0,16.35
2025-09-05 13:30:00+00:00,238.85395759916508,222.7105524008352,230.7822550000001,,,221.23953087500024,228.889461604744,73.02638427342765,5.705435063426981,5.414156012375628,4.919930602454861,0.4942254099207668,32.86478509862833,91.20641892509748,79.64967629283095,187.640500456121,14.506175000000011,228.780186,-1.0495169830470286,2,1.0,1.0,0,0.0,15.3
2025-09-08 13:30:00+00:00,239.73024533983752,223.16526466016265,231.4477550000001,,,221.30338087500024,229.75564691340364,69.46773797399413,5.570046844610768,5.4828278206069285,5.0325100460852745,0.450317774521654,33.42960994963819,89.29029245770714,85.68071130664919,140.5901269643863,11.31000000000003,230.78655624,-0.7632515145989004,2,1.0,1.0,0,0.0,15.18
2025-09-09 13:30:00+00:00,240.1464781485508,223.60079435144948,231.8736362500001,,,221.34751900000023,230.31173583036696,63.63209155794685,5.559364927138568,5.271138179527668,5.080235672773753,0.1909025067539147,32.88304690838336,81.3828897656352,87.29320038281331,79.46054306113469,8.58012500000001,232.4719072416,-0.0785523757301904,2,1.0,1.0,0,0.0,15.11
2025-09-10 13:30:00+00:00,240.138633123938,223.65413937606223,231.8963862500001,,,221.35410025000024,230.2230553003336,51.63434523945835,5.955226089114153,4.523794293445292,4.968947396908061,-0.4451531034627694,30.68686319853641,61.35672991402321,77.34330404578854,-51.18266331533232,1.7462500000000318,241.32,0.4997596456124342,2,1.0,1.0,0,0.0,15.04
2025-09-11 13:30:00+00:00,240.0664011080105,223.3307463919897,231.6985737500001,,,221.35550650000025,230.0665275457578,50.32885178872804,5.997269625420169,3.8201055588400834,4.7391790292944656,-0.919073470454382,28.647549753678536,41.17879236141678,61.30613734702509,-62.021720825672006,-1.0637499999999989,241.0126,1.682065350505375,2,1.0,1.0,0,0.0,15.35
2025-09-12 13:30:00+00:00,239.96321855426928,223.2843039457309,231.6237612500001,,,221.3724498750002,230.21547958705253,55.027176267366585,5.998089652175871,3.48081831025948,4.487506885487468,-1.0066885752279884,26.76763982527452,32.25891917633971,44.9314804839266,1.6181389313335988,0.173749999999984,240.711348,1.0268183647569462,2,1.0,1.0,0,0.0,14.71
2025-09-15 13:30:00+00:00,240.47499286673448,223.2154046332657,231.8451987500001,,,221.41021250000023,230.8077087155023,61.22270589858802,6.063492434209768,3.5761822230779785,4.30524195300557,-0.7290597299275916,25.833569050962375,45.83333333333337,39.75701495702997,89.792117620142,4.380000000000024,240.41612104,-0.1850320884963215,2,1.0,1.0,0,0.0,14.76
2025-09-16 13:30:00+00:00,241.2445367576756,223.12207324232455,232.18330500000008,,,221.4421543750002,231.481292014093,62.85365519330716,6.145876138932299,3.7287743801514353,4.189948438434743,-0.4611740582833077,25.5426622199051,64.79807153486531,47.63010801484615,100.7284584246474,9.019624999999962,225.95,-1.151887931536019,2,1.0,1.0,0,0.0,15.69
2025-09-17 13:30:00+00:00,242.0854572195454,223.0745302804548,232.57999375000009,,,221.4652795000002,232.16004046735725,63.66204606729918,5.991875675448749,3.8640990117029617,4.124778553088387,-0.260679541385425,25.27253444820905,78.92522032531427,63.18554173117101,97.9049895743402,1.7250249999999596,226.2554,-0.8844849631035514,2,1.0,1.0,0,0.0,16.36
2025-09-18 13:30:00+00:00,,,,223.2845955000004,213.56552825000003,221.4862856250002,232.77503678850655,63.61606692663881,5.888884555773837,3.924290400961837,4.084680922663077,-0.16039052170124,25.233378509617037,82.93135979180215,75.5515505506606,86.3083561816461,0.2075250000000039,226.554692,-0.5937275663689326,2,1.0,1.0,0,0.0,15.72
2025-09-19 13:30:00+00:00,,,,223.9186485000004,213.90086725,221.5229363750002,233.73266071682417,68.39964380758917,6.044898956257183,4.276440459202121,4.123032829970886,0.1534076292312347,26.052165438318536,84.76122174993348,82.20593395568332,134.53330715366468,3.435124999999971,226.84799816,-0.2921779481178811,2,1.0,1.0,0,0.0,15.7
2025-09-22 13:30:00+00:00,,,,224.7457735000004,214.32243475,221.5908488750002,235.4192370152947,75.50178475391941,6.746841393758122,5.21964930301769,4.342356124580247,0.8772931784374425,27.977932925327604,85.1763755723165,84.28965237135073,224.7422150591982,13.86749999999995,227.6260782336,-1.0443485960728642,2,1.0,1.0,0,0.0,15.45
2025-09-23 13:30:00+00:00,,,,225.6669235000004,214.770371,221.6622301250002,237.22714728663155,77.34723441902187,7.0373203328207685,6.140158803978409,4.701916660459879,1.4382421435185293,29.82805068006834,88.2108185697915,86.04947196401385,227.9650033631361,19.433624999999974,229.366913539584,-2.282556053921226,2,1.0,1.0,0,-0.087007490370754,16.1
